S/NO.,ENTRYDATETIME,IU,CASHCARD,VEHICLE,CARDTYPE,AMOUNT,EXITDATETIME
592,2022-06-01 18:56:00,C13566079687,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 21:58:00
596,2022-06-01 18:58:00,C13565920914,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 20:10:00
598,2022-06-01 18:58:00,C13475623116,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 22:53:00
602,2022-06-01 18:59:00,C13474376386,1.11E+15,,Hourly         ,$2.10 ,2022-06-01 21:21:00
603,2022-06-01 18:59:00,C13375157924,1.11E+15,,Hourly         ,$2.10 ,2022-06-01 21:35:00
605,2022-06-01 19:02:00,C13371323899,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 23:10:00
609,2022-06-01 19:03:00,C13473354268,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 21:29:00
612,2022-06-01 19:04:00,C13566244976,1.11E+15,,Hourly         ,$2.10 ,2022-06-01 22:57:00
614,2022-06-01 19:06:00,C13475569426,1.11E+15,,Hourly         ,$2.10 ,2022-06-01 22:52:00
619,2022-06-01 19:08:00,C13566431385,1.00E+15,,Hourly         ,$3.00 ,2022-06-01 21:02:00
618,2022-06-01 19:08:00,C13473051723,1.01E+15,,Hourly         ,$3.00 ,2022-06-01 21:07:00
622,2022-06-01 19:11:00,C13474485185,1.11E+15,,Hourly         ,$2.10 ,2022-06-01 22:53:00
626,2022-06-01 19:16:00,C13470219513,1.11E+15,,Hourly         ,$2.10 ,2022-06-01 22:57:00
629,2022-06-01 19:20:00,C13470067400,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 19:45:00
631,2022-06-01 19:20:00,C13566534410,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 20:07:00
639,2022-06-01 19:32:00,C13472020406,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 23:19:00
649,2022-06-01 19:53:00,C13475431311,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 22:34:00
663,2022-06-01 20:37:00,C13473881250,1.11E+15,,Hourly         ,$2.10 ,2022-06-01 22:18:00
672,2022-06-01 21:05:00,C13474984952,1.11E+15,,Hourly         ,$3.00 ,2022-06-01 22:39:00
770,2022-06-02 06:50:00,C13473793372,0,,Season         ,$0.00 ,2022-06-02 18:18:00
772,2022-06-02 07:07:00,C13473793372,0,,Season         ,$0.00 ,2022-06-02 18:18:00
773,2022-06-02 07:07:00,C13565920914,1.11E+15,,Hourly         ,$1.56 ,2022-06-02 07:46:00
