S/NO.,TIME,STATION,IU,CASHCARD,VEHICLE,CARDTYPE,AMOUNT
454,3/6/22 13:21,Exit      ,C13475521758,1.11E+15,,Hourly         ,$6.45 
455,3/6/22 13:23,Entry     ,C13472907504,0,,Season         ,$0.00 
456,3/6/22 13:27,Entry     ,C13473127318,0,,Hourly         ,$0.00 
457,3/6/22 13:37,Exit      ,C13473127318,0,,Hourly         ,$0.00 
458,3/6/22 13:41,Entry     ,C13475202696,0,,Hourly         ,$0.00 
459,3/6/22 13:46,Entry     ,C13473295814,0,,Hourly         ,$0.00 
460,3/6/22 13:50,Entry     ,C13565757517,0,,Hourly         ,$0.00 
461,3/6/22 13:58,Exit      ,C13472839887,0,,Season         ,$0.00 
462,3/6/22 13:58,Entry     ,C13474437302,0,,Season         ,$0.00 
463,3/6/22 14:14,Exit      ,C13470650172,0,,Season         ,$0.00 
464,3/6/22 14:17,Exit      ,C13566354347,1.11E+15,,Hourly         ,$3.47 
465,3/6/22 14:22,Entry     ,C13472739821,0,,Hourly         ,$0.00 
466,3/6/22 14:27,Entry     ,C13469105574,0,,Season         ,$0.00 
467,3/6/22 14:28,Entry     ,C13471666391,0,,Hourly         ,$0.00 
468,3/6/22 14:34,Entry     ,C13470907655,0,,Hourly         ,$0.00 
469,3/6/22 14:36,Entry     ,C13475628736,0,,Hourly         ,$0.00 
470,3/6/22 14:38,Exit      ,C13467312963,1.11E+15,,Hourly         ,$4.36 
471,3/6/22 14:43,Exit      ,C13565757517,1.11E+15,,Hourly         ,$2.26 
472,3/6/22 14:46,Exit      ,C13470907655,1.11E+15,,Hourly         ,$0.48 
473,3/6/22 14:59,Exit      ,C13471666391,1.11E+15,,Hourly         ,$1.24 
474,3/6/22 15:14,Exit      ,C13473295814,1.11E+15,,Hourly         ,$3.70 
475,3/6/22 15:15,Entry     ,C13473841519,0,,Hourly         ,$0.00 
476,3/6/22 15:16,Exit      ,C13474484765,0,,Season         ,$0.00 
477,3/6/22 15:16,Exit      ,C13472739821,1.11E+15,,Hourly         ,$2.20 
478,3/6/22 15:43,Exit      ,C13472299008,0,,Season         ,$0.00 
479,3/6/22 15:50,Exit      ,C13472313330,0,,Season         ,$0.00 
480,3/6/22 15:52,Exit      ,C13475628736,1.11E+15,,Hourly         ,$3.08 
481,3/6/22 16:09,Exit      ,C13469137501,0,,Season         ,$0.00 
482,3/6/22 16:10,Exit      ,C13471899345,1.11E+15,,Hourly         ,$10.24 
483,3/6/22 16:13,Entry     ,C13389061838,0,,Hourly         ,$0.00 
484,3/6/22 16:14,Exit      ,C13469105574,0,,Season         ,$0.00 
485,3/6/22 16:27,Exit      ,C13467736593,0,,Use Ticket     ,$0.00 
486,3/6/22 16:48,Exit      ,C13473875148,0,,Season         ,$0.00 
487,3/6/22 16:48,Exit      ,C13471728958,0,,Use Ticket     ,$0.00 
488,3/6/22 16:50,Exit      ,C13474437302,0,,Season         ,$0.00 
489,3/6/22 16:53,Entry     ,C13472435481,0,,Hourly         ,$0.00 
490,3/6/22 17:07,Exit      ,C13475202696,1.11E+15,,Hourly         ,$8.47 
491,3/6/22 17:11,Exit      ,C13472444959,0,,Season         ,$0.00 
492,3/6/22 17:12,Exit      ,C13475104116,0,,Season         ,$0.00 
493,3/6/22 17:15,Exit      ,C13475026805,0,,Season         ,$0.00 
494,3/6/22 17:23,Entry     ,C13470650172,0,,Season         ,$0.00 
495,3/6/22 17:24,Exit      ,C13474691731,0,,Use Ticket     ,$0.00 
496,3/6/22 17:31,Entry     ,C13472498929,0,,Hourly         ,$0.00 
497,3/6/22 17:34,Exit      ,C13566474525,0,,Season         ,$0.00 
498,3/6/22 17:44,Exit      ,C13474577908,0,,Season         ,$0.00 
499,3/6/22 17:46,Exit      ,C13389061838,1.11E+15,,Hourly         ,$3.72 
500,3/6/22 17:49,Exit      ,C13471773724,0,,Use Ticket     ,$0.00 
501,3/6/22 17:50,Entry     ,C13474046426,0,,Hourly         ,$0.00 
502,3/6/22 17:51,Exit      ,C13473841519,1.11E+15,,Hourly         ,$6.28 
503,3/6/22 17:52,Exit      ,C13473787109,0,,Season         ,$0.00 
504,3/6/22 18:00,Exit      ,C13472983023,0,,Season         ,$0.00 
